,month,day,campaign_number,user_engagement,displays,cost,clicks,revenue,post_click_conversions,post_click_sales_amount,updated_placement,banner_width,banner_height,banner_area
75,April,1,camp 2,Low,6745,0.5596,21,0.8257,0,0.0,def,160,600,96000
76,April,1,camp 2,Low,99,0.1207,1,0.0393,0,0.0,ghi,160,600,96000
77,April,1,camp 2,Low,50107,5.984,367,14.43,3,66.5661,mno,160,600,96000
78,April,1,camp 2,Medium,7,0.0085,0,0.0,0,0.0,abc,160,600,96000
79,April,1,camp 2,Medium,22075,5.16,321,12.62,4,269.4696,def,160,600,96000
80,April,1,camp 2,Medium,2469,3.79,58,2.281,3,236.7731,ghi,160,600,96000
81,April,1,camp 2,Medium,181282,45.94,3611,142.0,56,2923.7717,mno,160,600,96000
82,April,1,camp 2,Low,12670,1.458,51,2.006,0,0.0,def,240,400,96000
83,April,1,camp 2,Low,23968,18.31,574,22.56,10,1003.2078,ghi,240,400,96000
84,April,1,camp 2,Low,3706,1.643,48,1.887,0,0.0,jkl,240,400,96000
85,April,1,camp 2,Low,39787,4.555,209,8.22,0,0.0,mno,240,400,96000
86,April,1,camp 2,Medium,64482,13.58,886,34.8,4,166.4344,def,240,400,96000
87,April,1,camp 2,Medium,214846,184.1,10390,408.5,146,12485.021,ghi,240,400,96000
88,April,1,camp 2,Medium,28666,13.05,755,29.67,18,916.0838,jkl,240,400,96000
89,April,1,camp 2,Medium,184116,61.66,2720,106.94,39,3724.3667,mno,240,400,96000
90,April,1,camp 2,Low,3,0.0061,1,0.0393,0,0.0,abc,300,250,75000
91,April,1,camp 2,Low,8682,1.497,44,1.729,0,0.0,def,300,250,75000
92,April,1,camp 2,Low,4354,2.64,86,3.379,2,141.2879,ghi,300,250,75000
93,April,1,camp 2,Low,128,0.072,0,0.0,0,0.0,jkl,300,250,75000
94,April,1,camp 2,Low,92429,9.164,498,19.58,1,12.9709,mno,300,250,75000
95,April,1,camp 2,Medium,11,0.017,0,0.0,0,0.0,abc,300,250,75000
96,April,1,camp 2,Medium,35227,14.164,401,15.76,14,839.2774,def,300,250,75000
97,April,1,camp 2,Medium,33570,20.83,1426,56.03,38,2771.717,ghi,300,250,75000
98,April,1,camp 2,Medium,2324,1.318,19,0.747,0,0.0,jkl,300,250,75000
99,April,1,camp 2,Medium,304259,73.5,3328,130.9,52,6350.636,mno,300,250,75000
100,April,1,camp 2,Low,273,0.0244,0,0.0,0,0.0,def,468,60,28080
101,April,1,camp 2,Low,7,0.0027,0,0.0,0,0.0,ghi,468,60,28080
102,April,1,camp 2,Low,587,0.0259,2,0.0786,0,0.0,mno,468,60,28080
103,April,1,camp 2,Medium,1324,0.2195,9,0.3538,0,0.0,def,468,60,28080
104,April,1,camp 2,Medium,159,0.0625,0,0.0,0,0.0,ghi,468,60,28080
105,April,1,camp 2,Medium,4,0.0025,0,0.0,0,0.0,jkl,468,60,28080
106,April,1,camp 2,Medium,3094,0.2878,5,0.1965,0,0.0,mno,468,60,28080
107,April,1,camp 2,Low,12604,2.441,245,9.63,0,0.0,mno,580,400,232000
108,April,1,camp 2,Medium,46408,22.78,1766,69.44,18,1683.7638,mno,580,400,232000
109,April,1,camp 2,Low,552,0.1107,3,0.1179,0,0.0,def,670,90,60300
110,April,1,camp 2,Low,371,0.2683,5,0.1965,0,0.0,ghi,670,90,60300
111,April,1,camp 2,Low,36,0.0253,0,0.0,0,0.0,jkl,670,90,60300
112,April,1,camp 2,Low,4624,0.2915,24,0.9434,0,0.0,mno,670,90,60300
113,April,1,camp 2,Medium,3957,1.634,40,1.572,0,0.0,def,670,90,60300
114,April,1,camp 2,Medium,6501,4.984,102,4.008,5,359.4609,ghi,670,90,60300
115,April,1,camp 2,Medium,449,0.3252,13,0.5103,0,0.0,jkl,670,90,60300
116,April,1,camp 2,Medium,19507,3.877,252,9.91,6,253.8565,mno,670,90,60300
117,April,1,camp 2,Low,12328,1.603,74,2.91,1,22.7769,def,728,90,65520
118,April,1,camp 2,Low,2999,3.11,37,1.454,1,11.7896,ghi,728,90,65520
119,April,1,camp 2,Low,1380,0.5566,13,0.511,0,0.0,jkl,728,90,65520
120,April,1,camp 2,Low,108130,9.414,666,26.17,5,523.5354,mno,728,90,65520
121,April,1,camp 2,Medium,7,0.0117,0,0.0,0,0.0,abc,728,90,65520
122,April,1,camp 2,Medium,59277,15.21,722,28.38,8,930.7221,def,728,90,65520
123,April,1,camp 2,Medium,55588,63.94,1515,59.56,53,3942.6277,ghi,728,90,65520
124,April,1,camp 2,Medium,13955,6.023,228,8.96,10,1160.8372,jkl,728,90,65520
125,April,1,camp 2,Medium,390929,79.3,5323,209.2,63,38386.94,mno,728,90,65520
126,April,1,camp 2,Medium,28,0.0112,2,0.0786,0,0.0,mno,800,250,200000
127,April,1,camp 3,High,2366,0.5796,4,0.2096,0,0.0,def,160,600,96000
128,April,1,camp 3,High,23,0.027,0,0.0,0,0.0,ghi,160,600,96000
129,April,1,camp 3,High,22167,5.02,50,2.621,1,532.0745,mno,160,600,96000
130,April,1,camp 3,Low,7,0.0093,0,0.0,0,0.0,abc,160,600,96000
131,April,1,camp 3,Low,11834,0.6987,21,1.101,0,0.0,def,160,600,96000
132,April,1,camp 3,Low,35,0.046,0,0.0,0,0.0,ghi,160,600,96000
133,April,1,camp 3,Low,41489,2.295,167,8.76,0,0.0,mno,160,600,96000
134,April,1,camp 3,Medium,5,0.0064,0,0.0,0,0.0,abc,160,600,96000
135,April,1,camp 3,Medium,17057,1.485,51,2.674,1,9.6979,def,160,600,96000
136,April,1,camp 3,Medium,54,0.0723,1,0.0524,0,0.0,ghi,160,600,96000
137,April,1,camp 3,Medium,82918,8.57,533,27.94,13,1195.3097,mno,160,600,96000
138,April,1,camp 3,High,7325,1.532,13,0.6816,1,128.4186,def,240,400,96000
139,April,1,camp 3,High,9037,7.402,67,3.512,2,458.0165,ghi,240,400,96000
140,April,1,camp 3,High,5524,2.488,33,1.729,4,145.7912,jkl,240,400,96000
141,April,1,camp 3,High,25346,8.875,62,3.248,9,446.8068,mno,240,400,96000
142,April,1,camp 3,Low,9414,0.7764,17,0.891,0,0.0,def,240,400,96000
143,April,1,camp 3,Low,3810,2.658,31,1.624,0,0.0,ghi,240,400,96000
144,April,1,camp 3,Low,459,0.1932,8,0.4192,0,0.0,jkl,240,400,96000
145,April,1,camp 3,Low,24730,0.684,34,1.782,0,0.0,mno,240,400,96000
146,April,1,camp 3,Medium,26007,2.744,86,4.508,0,0.0,def,240,400,96000
147,April,1,camp 3,Medium,17962,13.87,315,16.52,3,339.5186,ghi,240,400,96000
148,April,1,camp 3,Medium,4265,1.881,61,3.197,0,0.0,jkl,240,400,96000
149,April,1,camp 3,Medium,59998,4.45,180,9.44,2,201.9655,mno,240,400,96000
150,April,1,camp 3,High,4967,1.704,19,0.996,0,0.0,def,300,250,75000
151,April,1,camp 3,High,1273,0.7603,13,0.6816,0,0.0,ghi,300,250,75000
152,April,1,camp 3,High,293,0.1758,1,0.0524,0,0.0,jkl,300,250,75000
153,April,1,camp 3,High,30737,8.17,94,4.926,7,768.5861,mno,300,250,75000
154,April,1,camp 3,Low,1,0.0025,0,0.0,0,0.0,abc,300,250,75000
155,April,1,camp 3,Low,12292,0.9556,63,3.3,0,0.0,def,300,250,75000
156,April,1,camp 3,Low,831,0.449,9,0.4717,0,0.0,ghi,300,250,75000
157,April,1,camp 3,Low,3,0.0011,0,0.0,0,0.0,jkl,300,250,75000
158,April,1,camp 3,Low,66100,2.766,118,6.184,7,463.3167,mno,300,250,75000
159,April,1,camp 3,Medium,4,0.008,1,0.0524,0,0.0,abc,300,250,75000
160,April,1,camp 3,Medium,21214,2.95,126,6.605,1,3.9307,def,300,250,75000
161,April,1,camp 3,Medium,2866,1.583,69,3.615,0,0.0,ghi,300,250,75000
162,April,1,camp 3,Medium,44,0.0227,1,0.0524,0,0.0,jkl,300,250,75000
163,April,1,camp 3,Medium,116957,9.17,418,21.9,3,216.6186,mno,300,250,75000
164,April,1,camp 3,High,111,0.0177,0,0.0,0,0.0,def,468,60,28080
165,April,1,camp 3,High,1,0.0003,0,0.0,0,0.0,ghi,468,60,28080
166,April,1,camp 3,High,330,0.0217,0,0.0,0,0.0,mno,468,60,28080
167,April,1,camp 3,Low,210,0.0141,0,0.0,0,0.0,def,468,60,28080
168,April,1,camp 3,Low,4,0.0015,0,0.0,0,0.0,ghi,468,60,28080
169,April,1,camp 3,Low,363,0.0036,0,0.0,0,0.0,mno,468,60,28080
170,April,1,camp 3,Medium,421,0.0278,3,0.1572,0,0.0,def,468,60,28080
171,April,1,camp 3,Medium,7,0.0027,0,0.0,0,0.0,ghi,468,60,28080
172,April,1,camp 3,Medium,893,0.0148,1,0.0524,0,0.0,mno,468,60,28080
173,April,1,camp 3,High,7540,3.105,32,1.677,0,0.0,mno,580,400,232000
174,April,1,camp 3,Low,10045,0.752,73,3.826,0,0.0,mno,580,400,232000
175,April,1,camp 3,Medium,23157,3.088,248,13.0,1,66.9636,mno,580,400,232000
176,April,1,camp 3,High,485,0.1478,0,0.0,0,0.0,def,670,90,60300
177,April,1,camp 3,High,115,0.0928,1,0.0524,0,0.0,ghi,670,90,60300
178,April,1,camp 3,High,28,0.0178,0,0.0,0,0.0,jkl,670,90,60300
179,April,1,camp 3,High,1978,0.3535,2,0.1048,0,0.0,mno,670,90,60300
180,April,1,camp 3,Low,368,0.0392,3,0.1572,0,0.0,def,670,90,60300
181,April,1,camp 3,Low,44,0.0411,0,0.0,0,0.0,ghi,670,90,60300
182,April,1,camp 3,Low,5,0.0026,0,0.0,0,0.0,jkl,670,90,60300
183,April,1,camp 3,Low,2852,0.0522,8,0.4192,0,0.0,mno,670,90,60300
184,April,1,camp 3,Medium,2313,0.321,8,0.4192,0,0.0,def,670,90,60300
185,April,1,camp 3,Medium,146,0.144,1,0.0524,0,0.0,ghi,670,90,60300
186,April,1,camp 3,Medium,78,0.0445,2,0.1048,0,0.0,jkl,670,90,60300
187,April,1,camp 3,Medium,7479,0.2922,5,0.2612,0,0.0,mno,670,90,60300
188,April,1,camp 3,High,7601,1.685,23,1.206,1,185.3349,def,728,90,65520
189,April,1,camp 3,High,1274,1.414,7,0.367,0,0.0,ghi,728,90,65520
190,April,1,camp 3,High,1960,0.777,8,0.4192,0,0.0,jkl,728,90,65520
191,April,1,camp 3,High,37014,7.887,105,5.504,9,462.9524,mno,728,90,65520
192,April,1,camp 3,Low,2,0.0021,0,0.0,0,0.0,abc,728,90,65520
193,April,1,camp 3,Low,12477,1.135,63,3.299,0,0.0,def,728,90,65520
194,April,1,camp 3,Low,550,0.5864,4,0.2096,0,0.0,ghi,728,90,65520
195,April,1,camp 3,Low,150,0.0445,0,0.0,0,0.0,jkl,728,90,65520
196,April,1,camp 3,Low,91468,3.836,316,16.56,2,561.1487,mno,728,90,65520
197,April,1,camp 3,Medium,2,0.003,0,0.0,0,0.0,abc,728,90,65520
198,April,1,camp 3,Medium,29216,3.422,146,7.652,1,8.6485,def,728,90,65520
199,April,1,camp 3,Medium,1737,1.686,17,0.891,0,0.0,ghi,728,90,65520
200,April,1,camp 3,Medium,1852,0.617,9,0.4717,0,0.0,jkl,728,90,65520
201,April,1,camp 3,Medium,174462,12.336,707,37.06,1,136.5586,mno,728,90,65520
202,April,1,camp 3,High,2,0.0001,0,0.0,0,0.0,mno,800,250,200000
203,April,1,camp 3,Low,1,0.0,0,0.0,0,0.0,mno,800,250,200000
204,April,2,camp 1,High,2,0.005,0,0.0,0,0.0,abc,160,600,96000
205,April,2,camp 1,High,17332,19.8,140,25.27,26,1921.272,def,160,600,96000
206,April,2,camp 1,High,14288,26.2,151,27.27,59,3860.142,ghi,160,600,96000
207,April,2,camp 1,High,154658,180.8,1509,272.5,542,23994.678,mno,160,600,96000
208,April,2,camp 1,Low,341,0.039,0,0.0,0,0.0,def,160,600,96000
209,April,2,camp 1,Low,10,0.0131,0,0.0,0,0.0,ghi,160,600,96000
210,April,2,camp 1,Low,2083,0.3635,3,0.5415,2,51.5584,mno,160,600,96000
211,April,2,camp 1,Medium,2261,0.953,2,0.361,0,0.0,def,160,600,96000
212,April,2,camp 1,Medium,502,0.8467,3,0.5415,0,0.0,ghi,160,600,96000
213,April,2,camp 1,Medium,17427,8.21,159,28.7,37,2403.4922,mno,160,600,96000
214,April,2,camp 1,High,48847,43.9,305,55.06,43,3552.283,def,240,400,96000
215,April,2,camp 1,High,304804,275.2,7767,1402.0,2187,113046.57,ghi,240,400,96000
216,April,2,camp 1,High,54447,24.81,528,95.3,175,8840.939,jkl,240,400,96000
217,April,2,camp 1,High,187529,312.2,1633,294.8,672,31683.74,mno,240,400,96000
218,April,2,camp 1,Low,422,0.0556,1,0.1805,0,0.0,def,240,400,96000
219,April,2,camp 1,Low,940,0.741,18,3.25,3,126.8199,ghi,240,400,96000
220,April,2,camp 1,Low,314,0.1324,1,0.1805,0,0.0,jkl,240,400,96000
221,April,2,camp 1,Low,1580,0.3518,3,0.5415,0,0.0,mno,240,400,96000
222,April,2,camp 1,Medium,5354,1.891,12,2.166,1,13.3345,def,240,400,96000
223,April,2,camp 1,Medium,16728,14.41,436,78.7,40,1973.808,ghi,240,400,96000
224,April,2,camp 1,Medium,3892,1.728,43,7.76,8,424.1517,jkl,240,400,96000
225,April,2,camp 1,Medium,15017,9.84,118,21.31,24,1376.4896,mno,240,400,96000
226,April,2,camp 1,High,6,0.0165,0,0.0,0,0.0,abc,300,250,75000
227,April,2,camp 1,High,41896,45.44,277,50.0,102,4162.039,def,300,250,75000
228,April,2,camp 1,High,70071,46.78,1325,239.2,361,14883.729,ghi,300,250,75000
229,April,2,camp 1,High,5132,2.844,26,4.695,13,971.9768,jkl,300,250,75000
230,April,2,camp 1,High,235317,275.2,1844,333.0,896,77490.54,mno,300,250,75000
231,April,2,camp 1,Low,1,0.0008,0,0.0,0,0.0,abc,300,250,75000
232,April,2,camp 1,Low,424,0.1294,3,0.5415,0,0.0,def,300,250,75000
233,April,2,camp 1,Low,216,0.1213,5,0.903,0,0.0,ghi,300,250,75000
234,April,2,camp 1,Low,12,0.0077,0,0.0,0,0.0,jkl,300,250,75000
235,April,2,camp 1,Low,2745,0.4702,6,1.083,0,0.0,mno,300,250,75000
236,April,2,camp 1,Medium,1,0.002,0,0.0,0,0.0,abc,300,250,75000
237,April,2,camp 1,Medium,4324,2.94,22,3.973,2,58.5481,def,300,250,75000
238,April,2,camp 1,Medium,3171,1.955,99,17.88,10,88.1188,ghi,300,250,75000
239,April,2,camp 1,Medium,230,0.1307,1,0.1805,1,150.8711,jkl,300,250,75000
240,April,2,camp 1,Medium,23404,11.945,142,25.64,14,520.8722,mno,300,250,75000
241,April,2,camp 1,High,1076,0.5293,4,0.722,0,0.0,def,468,60,28080
242,April,2,camp 1,High,350,0.1354,0,0.0,0,0.0,ghi,468,60,28080
243,April,2,camp 1,High,9,0.0057,0,0.0,0,0.0,jkl,468,60,28080
244,April,2,camp 1,High,3432,1.769,9,1.626,17,1808.8477,mno,468,60,28080
245,April,2,camp 1,Low,5,0.0004,0,0.0,0,0.0,def,468,60,28080
246,April,2,camp 1,Low,26,0.0016,0,0.0,0,0.0,mno,468,60,28080
247,April,2,camp 1,Medium,86,0.0349,0,0.0,0,0.0,def,468,60,28080
248,April,2,camp 1,Medium,27,0.0104,0,0.0,0,0.0,ghi,468,60,28080
249,April,2,camp 1,Medium,372,0.0785,0,0.0,0,0.0,mno,468,60,28080
250,April,2,camp 1,High,45327,110.5,889,160.5,453,19132.97,mno,580,400,232000
251,April,2,camp 1,Low,375,0.1191,5,0.903,0,0.0,mno,580,400,232000
252,April,2,camp 1,Medium,3669,3.902,48,8.664,5,144.5778,mno,580,400,232000
253,April,2,camp 1,High,4491,7.953,49,8.84,30,576.9186,def,670,90,60300
254,April,2,camp 1,High,16534,12.9,135,24.38,99,2985.5435,ghi,670,90,60300
255,April,2,camp 1,High,274,0.1868,1,0.1805,0,0.0,jkl,670,90,60300
256,April,2,camp 1,High,16974,22.83,146,26.36,51,2221.09,mno,670,90,60300
257,April,2,camp 1,Low,39,0.0069,1,0.1805,0,0.0,def,670,90,60300
258,April,2,camp 1,Low,21,0.0105,1,0.1805,0,0.0,ghi,670,90,60300
259,April,2,camp 1,Low,155,0.021,0,0.0,0,0.0,mno,670,90,60300
260,April,2,camp 1,Medium,418,0.3982,9,1.625,0,0.0,def,670,90,60300
261,April,2,camp 1,Medium,995,0.648,5,0.903,0,0.0,ghi,670,90,60300
262,April,2,camp 1,Medium,29,0.0207,0,0.0,0,0.0,jkl,670,90,60300
263,April,2,camp 1,Medium,1494,0.7485,16,2.889,1,241.2338,mno,670,90,60300
264,April,2,camp 1,High,13,0.0176,0,0.0,0,0.0,abc,728,90,65520
265,April,2,camp 1,High,68761,77.0,442,79.8,130,7581.738,def,728,90,65520
266,April,2,camp 1,High,206356,267.0,2910,525.5,1064,47941.3,ghi,728,90,65520
267,April,2,camp 1,High,23526,10.2,176,31.78,82,1995.7441,jkl,728,90,65520
268,April,2,camp 1,High,362969,339.8,2384,430.5,912,44394.723,mno,728,90,65520
269,April,2,camp 1,Low,637,0.122,1,0.1805,0,0.0,def,728,90,65520
270,April,2,camp 1,Low,276,0.328,4,0.722,1,218.2788,ghi,728,90,65520
271,April,2,camp 1,Low,108,0.0422,0,0.0,0,0.0,jkl,728,90,65520
272,April,2,camp 1,Low,4194,0.6475,9,1.625,4,230.4656,mno,728,90,65520
273,April,2,camp 1,Medium,6857,3.441,27,4.875,6,167.133,def,728,90,65520
274,April,2,camp 1,Medium,9083,10.96,116,20.94,18,693.3314,ghi,728,90,65520
275,April,2,camp 1,Medium,1972,0.8354,22,3.973,2,125.6464,jkl,728,90,65520
276,April,2,camp 1,Medium,39528,17.64,218,39.34,42,1589.2214,mno,728,90,65520
277,April,2,camp 1,High,4,0.0038,0,0.0,0,0.0,mno,800,250,200000
278,April,2,camp 2,Low,6347,0.4524,19,0.735,0,0.0,def,160,600,96000
279,April,2,camp 2,Low,99,0.1353,5,0.1934,0,0.0,ghi,160,600,96000
280,April,2,camp 2,Low,54552,6.434,425,16.44,0,0.0,mno,160,600,96000
281,April,2,camp 2,Medium,1,0.0007,0,0.0,0,0.0,abc,160,600,96000
282,April,2,camp 2,Medium,20551,4.473,225,8.7,3,134.3125,def,160,600,96000
283,April,2,camp 2,Medium,2372,3.508,42,1.625,0,0.0,ghi,160,600,96000
284,April,2,camp 2,Medium,189214,44.22,4033,156.0,22,1214.7213,mno,160,600,96000
285,April,2,camp 2,Low,11237,1.391,47,1.818,0,0.0,def,240,400,96000
286,April,2,camp 2,Low,18523,13.88,431,16.67,4,189.1079,ghi,240,400,96000
287,April,2,camp 2,Low,3967,1.629,55,2.129,1,37.8933,jkl,240,400,96000
288,April,2,camp 2,Low,40040,4.406,221,8.55,3,518.4353,mno,240,400,96000
289,April,2,camp 2,Medium,55529,12.836,809,31.3,4,277.7942,def,240,400,96000
290,April,2,camp 2,Medium,166072,138.2,8098,313.2,128,12831.177,ghi,240,400,96000
291,April,2,camp 2,Medium,28532,12.05,668,25.84,8,547.2576,jkl,240,400,96000
292,April,2,camp 2,Medium,172704,47.62,2199,85.06,21,1179.8776,mno,240,400,96000
293,April,2,camp 2,Low,1,0.0008,0,0.0,0,0.0,abc,300,250,75000
294,April,2,camp 2,Low,11302,1.442,62,2.398,0,0.0,def,300,250,75000
295,April,2,camp 2,Low,5093,3.074,111,4.293,1,236.4494,ghi,300,250,75000
296,April,2,camp 2,Low,44,0.0237,0,0.0,0,0.0,jkl,300,250,75000
297,April,2,camp 2,Low,73880,6.883,400,15.48,2,172.0206,mno,300,250,75000
298,April,2,camp 2,Medium,8,0.0135,0,0.0,0,0.0,abc,300,250,75000
299,April,2,camp 2,Medium,36384,12.89,424,16.4,8,671.5113,def,300,250,75000
300,April,2,camp 2,Medium,39240,24.16,1663,64.3,12,1950.9304,ghi,300,250,75000
301,April,2,camp 2,Medium,1033,0.574,7,0.2708,2,124.0086,jkl,300,250,75000
302,April,2,camp 2,Medium,248532,56.6,2876,111.25,36,1878.5457,mno,300,250,75000
303,April,2,camp 2,Low,444,0.0319,2,0.0773,0,0.0,def,468,60,28080
304,April,2,camp 2,Low,2,0.0007,0,0.0,0,0.0,ghi,468,60,28080
305,April,2,camp 2,Low,712,0.0303,2,0.0773,0,0.0,mno,468,60,28080
306,April,2,camp 2,Medium,1242,0.174,8,0.3096,0,0.0,def,468,60,28080
307,April,2,camp 2,Medium,92,0.0355,0,0.0,0,0.0,ghi,468,60,28080
308,April,2,camp 2,Medium,11,0.007,0,0.0,0,0.0,jkl,468,60,28080
309,April,2,camp 2,Medium,2585,0.2532,30,1.16,0,0.0,mno,468,60,28080
310,April,2,camp 2,Low,13697,2.531,300,11.61,3,279.6255,mno,580,400,232000
311,April,2,camp 2,Medium,45561,20.23,1991,77.0,29,1374.6566,mno,580,400,232000
312,April,2,camp 2,Low,446,0.0748,3,0.116,0,0.0,def,670,90,60300
313,April,2,camp 2,Low,272,0.1769,4,0.1547,0,0.0,ghi,670,90,60300
